//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=1000
SampleCnt=425       
StartTime=2025/08/26 10:31:54
EndTime=2025/08/26 10:38:58
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2025/08/26,10:31:54,-0.0215,27.361,0.054,0.110,104.493,996.456,-3.544,0.20,0.20,0.01,98.11,7.820,8.04,7.841,7.841,
2025/08/26,10:31:55,-0.0430,27.300,0.054,0.110,104.453,996.473,-3.527,0.21,0.21,0.00,97.97,7.799,8.14,7.820,7.820,
2025/08/26,10:31:56,-0.0430,27.226,0.054,0.110,104.641,996.493,-3.506,0.23,0.23,0.00,97.74,7.776,8.19,7.798,7.798,
2025/08/26,10:31:57,-0.0430,27.249,0.054,0.110,104.628,996.487,-3.513,0.20,0.20,0.00,97.78,7.778,8.25,7.799,7.800,
2025/08/26,10:31:58,-0.0430,27.308,0.054,0.110,104.556,996.471,-3.529,0.20,0.20,-0.01,97.88,7.788,8.22,7.809,7.810,
2025/08/26,10:31:59,-0.0430,27.279,0.054,0.110,104.550,996.479,-3.521,0.23,0.23,0.00,97.89,7.793,8.25,7.815,7.815,
2025/08/26,10:32:00,-0.0430,27.269,0.054,0.110,104.455,996.481,-3.518,0.21,0.21,0.00,97.76,7.782,8.28,7.803,7.803,
2025/08/26,10:32:01,-0.0430,27.297,0.054,0.110,104.492,996.473,-3.526,0.20,0.20,0.00,97.82,7.791,8.25,7.812,7.813,
2025/08/26,10:32:02,-0.0430,27.272,0.054,0.110,104.511,996.480,-3.519,0.22,0.22,0.00,97.78,7.787,8.25,7.808,7.808,
2025/08/26,10:32:03,-0.0430,27.267,0.054,0.110,104.438,996.482,-3.518,0.21,0.21,-0.01,97.81,7.788,8.25,7.810,7.810,
2025/08/26,10:32:04,-0.0430,27.079,0.054,0.110,104.994,996.534,-3.466,0.19,0.19,0.00,97.81,7.797,8.27,7.818,7.818,
2025/08/26,10:32:05,-0.0430,26.982,0.055,0.110,105.343,996.561,-3.439,0.22,0.22,0.00,97.81,7.797,8.28,7.819,7.819,
2025/08/26,10:32:06,-0.0430,27.106,0.055,0.110,105.151,996.527,-3.473,0.21,0.21,-0.01,97.87,7.799,8.28,7.821,7.821,
2025/08/26,10:32:07,-0.0215,27.061,0.055,0.110,105.337,996.539,-3.461,0.19,0.19,0.00,97.70,7.787,8.25,7.808,7.809,
2025/08/26,10:32:08,-0.0430,26.959,0.055,0.110,105.612,996.567,-3.432,0.22,0.22,0.00,97.88,7.807,8.26,7.828,7.828,
2025/08/26,10:32:09,-0.0430,26.926,0.055,0.110,105.805,996.576,-3.423,0.20,0.20,0.00,97.72,7.793,8.26,7.814,7.815,
2025/08/26,10:32:10,-0.0430,26.962,0.055,0.110,105.807,996.566,-3.433,0.19,0.19,-0.01,97.80,7.800,8.28,7.822,7.822,
2025/08/26,10:32:11,-0.0430,27.021,0.055,0.110,105.710,996.550,-3.449,0.22,0.22,0.00,97.92,7.810,8.26,7.831,7.831,
2025/08/26,10:32:12,-0.0430,26.995,0.055,0.111,105.924,996.558,-3.442,-0.63,-0.63,-3.68,97.83,7.801,8.27,7.822,7.823,
2025/08/26,10:32:13,0.2365,25.304,34.039,52.084,51737.521,1022.524,22.523,1.52,1.52,1.54,99.88,6.736,8.27,6.755,6.756,
2025/08/26,10:32:14,0.0860,25.229,34.055,52.029,51768.253,1022.558,22.558,-2.01,-2.01,-6.50,105.21,7.105,8.26,7.125,7.126,
2025/08/26,10:32:15,0.1075,25.212,33.752,51.600,51359.641,1022.335,22.334,1.35,1.35,0.37,106.58,7.210,8.25,7.230,7.231,
2025/08/26,10:32:16,0.1935,25.105,34.032,51.871,51751.273,1022.579,22.578,1.31,1.31,0.58,106.88,7.236,8.27,7.256,7.257,
2025/08/26,10:32:17,0.1505,25.152,34.071,51.971,51797.924,1022.594,22.593,1.35,1.35,0.46,107.18,7.246,8.26,7.266,7.267,
2025/08/26,10:32:18,-0.0215,25.208,6.854,12.059,12004.267,1002.142,2.142,2.56,2.56,-2.88,107.14,8.451,8.28,8.474,8.474,
2025/08/26,10:32:19,0.3010,25.103,33.989,51.810,51692.977,1022.547,22.546,1.32,1.32,0.19,106.93,7.244,8.26,7.264,7.265,
2025/08/26,10:32:20,0.4730,25.030,34.067,51.842,51807.873,1022.630,22.627,1.39,1.39,0.09,107.12,7.255,8.25,7.275,7.276,
2025/08/26,10:32:21,0.7739,25.022,34.023,51.774,51749.258,1022.600,22.596,1.42,1.42,0.14,107.36,7.279,8.27,7.299,7.300,
2025/08/26,10:32:22,1.2684,25.031,34.017,51.775,51740.563,1022.595,22.589,1.34,1.34,0.20,107.58,7.295,8.23,7.315,7.317,
2025/08/26,10:32:23,1.6124,25.020,34.024,51.775,51751.366,1022.605,22.598,1.36,1.36,0.18,107.68,7.301,8.25,7.321,7.322,
2025/08/26,10:32:24,1.8919,25.013,34.018,51.759,51744.015,1022.604,22.595,1.39,1.39,0.14,107.77,7.308,8.24,7.329,7.330,
2025/08/26,10:32:25,2.1069,25.012,34.031,51.776,51762.269,1022.615,22.606,1.49,1.49,0.18,107.66,7.297,8.28,7.317,7.319,
2025/08/26,10:32:26,2.3004,25.007,34.007,51.738,51729.978,1022.599,22.589,1.52,1.52,0.15,107.69,7.304,8.24,7.325,7.326,
2025/08/26,10:32:27,2.7733,24.944,34.024,51.696,51760.117,1022.633,22.620,1.68,1.68,0.18,107.58,7.306,8.28,7.326,7.327,
2025/08/26,10:32:28,3.1818,24.931,34.021,51.680,51758.414,1022.636,22.622,1.73,1.73,0.20,107.54,7.304,8.25,7.324,7.325,
2025/08/26,10:32:29,3.4828,24.930,34.019,51.676,51756.059,1022.637,22.621,1.65,1.65,0.15,107.57,7.306,8.26,7.326,7.327,
2025/08/26,10:32:30,3.8698,24.913,34.009,51.646,51745.107,1022.636,22.619,1.73,1.73,0.18,107.51,7.305,8.28,7.325,7.326,
2025/08/26,10:32:31,4.2997,24.826,34.039,51.597,51795.405,1022.686,22.667,1.73,1.73,0.17,107.35,7.303,8.26,7.323,7.324,
2025/08/26,10:32:32,4.5792,24.753,34.075,51.571,51853.146,1022.737,22.717,1.80,1.80,0.15,107.16,7.298,8.24,7.318,7.319,
2025/08/26,10:32:33,4.9017,24.674,34.044,51.449,51820.863,1022.738,22.717,2.05,2.05,0.19,107.01,7.301,8.28,7.321,7.322,
2025/08/26,10:32:34,5.4607,24.575,34.033,51.335,51818.807,1022.762,22.738,2.05,2.05,0.15,106.78,7.296,8.25,7.316,7.317,
2025/08/26,10:32:35,5.8261,24.531,34.055,51.320,51855.087,1022.794,22.769,1.98,1.98,0.14,106.59,7.287,8.28,7.307,7.308,
2025/08/26,10:32:36,6.0626,24.617,34.016,51.354,51790.537,1022.739,22.713,2.11,2.11,0.15,106.58,7.280,8.25,7.299,7.301,
