//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=1000
SampleCnt=176       
StartTime=2025/08/26 09:54:47
EndTime=2025/08/26 09:57:42
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2025/08/26,09:54:47,0.1075,26.745,0.086,0.182,174.996,996.651,-3.350,0.24,0.24,0.01,99.60,7.984,8.04,8.005,8.006,
2025/08/26,09:54:48,0.0860,26.696,0.084,0.177,170.762,996.662,-3.338,0.21,0.21,0.00,99.51,7.981,8.15,8.002,8.003,
2025/08/26,09:54:49,0.0860,26.730,0.084,0.177,170.204,996.653,-3.348,0.20,0.20,0.01,99.61,7.990,8.20,8.011,8.012,
2025/08/26,09:54:50,0.0860,26.723,0.087,0.182,175.519,996.656,-3.344,0.26,0.26,0.00,99.46,7.977,8.25,7.999,7.999,
2025/08/26,09:54:51,0.0860,26.703,0.087,0.182,175.787,996.662,-3.338,0.20,0.20,0.00,99.46,7.979,8.25,8.000,8.001,
2025/08/26,09:54:52,0.0860,26.691,0.087,0.182,175.673,996.665,-3.335,0.21,0.21,0.00,99.48,7.982,8.26,8.004,8.004,
2025/08/26,09:54:53,0.1505,26.365,14.277,24.252,23545.064,1007.374,7.373,-0.83,-0.83,-1.89,102.35,7.635,8.26,7.657,7.657,
2025/08/26,09:54:54,0.2150,25.916,33.156,51.490,50472.806,1021.669,21.668,5.22,5.22,0.61,109.41,7.352,8.27,7.372,7.373,
2025/08/26,09:54:55,0.3010,25.878,33.326,51.688,50707.592,1021.810,21.808,1.70,1.70,0.70,112.25,7.540,8.27,7.561,7.562,
2025/08/26,09:54:56,0.2150,25.801,32.563,50.557,49680.755,1021.258,21.257,1.58,1.58,0.44,113.76,7.680,8.26,7.702,7.703,
2025/08/26,09:54:57,0.2150,25.772,33.379,51.654,50791.648,1021.883,21.882,1.62,1.62,0.56,114.56,7.703,8.26,7.724,7.725,
2025/08/26,09:54:58,0.2365,25.691,33.419,51.627,50853.755,1021.937,21.936,1.59,1.59,0.60,114.61,7.716,8.28,7.737,7.739,
2025/08/26,09:54:59,0.5590,25.636,33.451,51.615,50903.306,1021.980,21.977,1.56,1.56,0.51,114.72,7.730,8.27,7.751,7.752,
2025/08/26,09:55:00,0.8384,25.633,33.451,51.612,50903.934,1021.982,21.978,1.58,1.58,0.53,114.80,7.735,8.26,7.756,7.758,
2025/08/26,09:55:01,1.1394,25.577,33.479,51.595,50948.199,1022.021,22.016,1.65,1.65,0.54,114.84,7.745,8.26,7.767,7.768,
2025/08/26,09:55:02,1.5479,25.502,33.566,51.638,51074.764,1022.112,22.105,1.62,1.62,0.45,114.63,7.735,8.26,7.757,7.758,
